Rank_New,HDI_Cat,Country,HDI,Exp_Life,Exp_School,Mean_School,GNI,GNI_HDI,Rank_Old,Latitude,Longitude
1,VH,Switzerland,0.962,83.9872,16.50029945,13.85966015,66933.00454,5,3,46.7985624,8.2319736
2,VH,Norway,0.961,83.2339,18.18519974,13.00362968,64660.10622,6,1,64.5731537,11.52803643954819
3,VH,Iceland,0.959,82.6782,19.16305923,13.76716995,55782.04981,11,2,64.9841821,-18.1059013
4,VH,"Hong Kong, China (SAR)",0.952,85.4734,17.27816963,12.22620964,62606.8454,6,4,22.302711,114.177216
5,VH,Australia,0.951,84.5265,21.05459023,12.72681999,49238.43335,18,5,-24.7761086,134.755
6,VH,Denmark,0.948,81.3753,18.71479988,12.96049023,60364.78595,6,5,55.670249,10.3333283
7,VH,Sweden,0.947,82.9833,19.41852951,12.60972023,54489.37401,9,9,44.133435,-70.822678
8,VH,Ireland,0.945,81.9976,18.94522095,11.58222303,76168.98443,-3,8,52.865196,-7.9794599
9,VH,Germany,0.942,80.6301,17.01013947,14.09096691,54534.21682,6,7,40.4203479,-79.1166983
10,VH,Netherlands,0.941,81.6873,18.69316522,12.58162975,55979.411,3,10,52.2434979,5.6343227
11,VH,Finland,0.94,82.0381,19.05192947,12.87362003,49452.16672,11,12,63.2467777,25.9209164
12,VH,Singapore,0.939,82.7545,16.5243206,11.92488003,90918.64471,-10,10,1.357107,103.8194992
13,VH,Belgium,0.937,81.8787,19.60421944,12.37567997,52293.39977,7,16,50.6402809,4.6667145
13,VH,New Zealand,0.937,82.4513,20.28388977,12.94468975,44057.31394,16,13,-41.5000831,172.8344077
15,VH,Canada,0.936,82.6565,16.39625931,13.83442722,46807.98619,9,15,61.0666922,-107.991707
16,VH,Liechtenstein,0.935,83.2575,15.18157005,12.53854,146829.7006,-15,14,47.1416307,9.5531527
17,VH,Luxembourg,0.93,82.6287,14.39813995,13.01519217,84649.47467,-13,17,49.6112768,6.129799
18,VH,United Kingdom,0.929,80.7422,17.30971909,13.4061203,45224.76564,9,17,54.7023545,-3.2765753
19,VH,Japan,0.925,84.7839,15.22162588,13.36610034,42274.29134,12,19,36.5748441,139.2394179
19,VH,Korea (Republic of),0.925,83.6978,16.52173996,12.51293027,44500.93187,9,20,38.233686649999996,127.00873073371443
21,VH,United States,0.921,77.1982,16.28097916,13.68342972,64765.21509,-14,21,39.7837304,-100.445882
22,VH,Israel,0.919,82.255,16.05088997,13.3448664,41523.74319,10,22,39.3181528,-79.8109014
23,VH,Malta,0.918,83.7769,16.83856964,12.21026039,38884.45623,12,26,35.8885993,14.4476911
